open,high,low,close,volume
4529.35,4625.2,4529.35,4620.4,521411418
4620.95,4649.85,4525.75,4552.25,578642335
4548.05,4572.65,4497.25,4529.05,575695680
4524.2,4529.8,4421.25,4430.7,492446993
4430.7,4447.4,4379.85,4393.05,395788417
4393.1,4393.7,4316.55,4368.25,408963049
4365.45,4434.9,4365.45,4415.75,438751962
4416.2,4418.55,4271.3,4283.85,434416745
4317.95,4398.8,4317.95,4335.35,330162088
4335.2,4345.05,4283.3,4337.5,370720790
4336.85,4364.25,4282.65,4292.1,381229573
4290.75,4304.5,4201.85,4214.0,523699511
4230.6,4368.8,4230.6,4360.0,456409529
4356.1,4365.0,4281.35,4348.65,378071977
4358.85,4522.4,4343.1,4504.0,534924428
4512.95,4514.6,4419.45,4447.75,478150665
4444.7,4444.7,4328.9,4352.3,414218125
4358.3,4558.0,4358.3,4482.3,448805619
4485.15,4497.5,4418.95,4468.7,426078576
4467.5,4467.5,4382.35,4400.25,468369081
4397.25,4399.3,4272.75,4290.3,409861317
4291.6,4323.9,4200.15,4228.45,453014972
4231.95,4237.25,3955.4,4072.9,491546410
4005.25,4050.1,3799.55,4038.15,622840004
4040.8,4262.65,4040.8,4245.25,592959421
4248.95,4303.25,4202.4,4223.05,443658642
4223.9,4224.7,4117.9,4126.9,419382270
4125.75,4207.95,4115.85,4161.25,431627910
4162.15,4172.6,4077.5,4110.55,613720173
4108.75,4110.7,3970.35,3985.25,432935844
3990.2,3997.55,3777.3,3850.05,555604716
3848.7,3966.85,3715.05,3921.2,635868365
3921.85,4000.5,3861.25,3950.75,463041041
3817.3,3820.85,3581.6,3602.35,489746961
3606.95,3732.65,3537.0,3606.6,581459545
3604.4,3604.4,3329.45,3513.65,616890391
3502.05,3502.05,3198.95,3279.95,645875466
3272.9,3510.2,3272.9,3490.7,569654553
3494.1,3648.25,3491.5,3518.65,588009933
3517.9,3518.5,3324.55,3338.4,453467319
3333.85,3333.85,3099.9,3269.3,618645299
3269.05,3335.95,3046.6,3074.35,516585235
3108.2,3238.4,3058.95,3122.8,506115257
3125.4,3254.85,3117.35,3234.9,556140291
3234.7,3235.75,3051.8,3065.15,460497054
3064.8,3085.1,2917.15,2943.15,522043204
2936.25,2936.25,2525.05,2584.0,686629291
2583.75,2585.3,2252.75,2524.2,664711123
2526.2,2695.95,2526.2,2684.6,125137979
2696.3,2921.35,2696.3,2885.6,665456874
2885.4,3062.05,2885.4,3043.85,619245740
3050.25,3152.3,2985.0,3142.1,776875591
3155.75,3240.55,2971.0,2994.95,807530337
2998.45,3007.8,2860.25,2892.65,687887529
2893.25,3010.0,2860.1,2973.0,597959480
2973.3,3161.25,2973.3,3148.25,628620575
3147.2,3147.2,2919.45,2938.65,570884200
2937.9,2975.2,2794.95,2848.45,613579102
2848.0,2938.8,2778.8,2810.35,629860366
2813.4,2835.7,2694.5,2799.55,556795897
2802.45,2802.45,2664.3,2683.15,504398859
2682.75,2772.4,2617.9,2635.0,514035044
2634.2,2634.2,2502.9,2553.15,483634828
2553.6,2718.6,2539.8,2693.45,594794026
2690.85,2740.35,2633.8,2708.25,488144545
2708.3,2790.7,2638.2,2654.0,524950668
2652.45,2762.6,2643.35,2752.25,517748980
2745.7,2779.0,2690.3,2755.1,567828081
2755.15,2832.85,2669.5,2682.9,496203085
2672.9,2672.9,2570.7,2657.8,468130008
2657.5,2693.65,2611.95,2656.45,528422363
2656.5,2793.8,2646.35,2788.0,678785638
2786.65,2821.15,2701.35,2714.4,672981134
2714.7,2861.55,2714.7,2784.0,583375326
2785.7,2940.15,2785.7,2928.25,727023187
2934.05,2945.3,2861.55,2920.15,847416851
2915.35,2936.8,2812.55,2921.35,805889674
2917.9,3012.1,2917.9,2981.2,818360652
2983.6,3052.55,2963.3,3041.75,776048956
3040.45,3076.2,2943.5,2954.35,844308062
2955.35,3072.55,2922.65,3060.75,857468085
3063.0,3106.8,3036.3,3077.5,878604910
3077.25,3110.45,3027.8,3039.3,721587351
3039.25,3040.0,2957.05,2968.65,634333962
2967.4,2968.0,2900.45,2916.85,677699499
2919.85,2960.95,2844.8,2857.25,529388409
2857.15,2931.8,2812.9,2922.2,610213675
2922.55,2999.15,2899.75,2979.5,648048971
2963.3,3039.25,2963.3,3033.45,575002944
3034.6,3079.85,3021.8,3046.75,880172190
3058.75,3131.95,3056.45,3121.45,808984367
3121.5,3141.8,3056.1,3112.8,893480357
3112.8,3147.2,2888.2,2920.4,1259945513
2919.95,2929.85,2810.25,2873.0,1031854758
2775.0,2802.6,2720.8,2744.95,659042287
2748.4,2853.25,2748.4,2835.3,575609489
2832.3,2832.3,2701.75,2736.7,617608848
2737.0,2835.65,2724.2,2828.45,609026987
2828.7,2868.2,2819.9,2846.2,625947732
2842.9,2842.9,2758.0,2796.6,562255190
2777.4,2787.3,2690.2,2706.15,564470518
2714.7,2744.85,2681.4,2713.8,554394965
2705.45,2765.55,2661.65,2678.55,683887876
2686.05,2777.3,2685.25,2771.35,575937502
2771.1,2855.4,2765.6,2849.5,736096578
2849.35,2873.85,2795.35,2823.95,908162106
2824.05,2881.0,2774.1,2874.8,729726471
2872.35,2873.45,2760.7,2766.65,643215655
2773.5,2831.7,2752.9,2783.9,673176722
2780.7,2842.2,2780.7,2803.05,744709994
2802.75,2816.8,2754.85,2780.05,695835437
2843.05,2926.75,2840.15,2919.9,599122107
2919.7,2957.4,2891.75,2934.5,726265748
2933.0,2937.5,2877.6,2925.7,704667803
2927.4,2939.0,2886.55,2893.05,680897213
2896.95,2969.75,2896.85,2948.35,611747138
2948.25,2953.2,2839.1,2848.5,617496490
2853.85,2854.65,2757.3,2770.5,493198438
2755.15,2806.5,2736.65,2776.15,510294420
2789.3,2789.3,2709.3,2736.45,426537294
2737.25,2746.2,2677.55,2733.9,443587974
2733.45,2789.35,2733.45,2762.5,419519465
2762.2,2797.8,2731.9,2785.65,584973786
2785.7,2787.2,2708.45,2763.65,532467709
2764.6,2764.6,2659.55,2674.6,461964217
2672.15,2688.5,2611.55,2622.4,482493819
2611.95,2655.7,2611.95,2645.2,464702113
2645.9,2663.9,2564.1,2576.7,528838810
2576.75,2628.1,2539.45,2620.15,563761364
2620.1,2621.25,2555.6,2573.15,487599354
2574.5,2646.1,2574.5,2617.45,508674744
2616.6,2726.15,2616.6,2719.25,601548931
2716.05,2781.95,2701.95,2777.25,628824724
2776.35,2805.6,2738.7,2757.45,724691347
2757.65,2836.05,2752.25,2794.7,705723614
2797.05,2822.25,2771.35,2807.15,610518128
2807.35,2816.1,2773.65,2807.05,549816991
2807.25,2949.75,2807.25,2939.9,635617401
2923.8,3017.4,2914.5,2938.7,839902636
2938.8,2996.5,2923.3,2984.35,786997868
2982.25,3103.35,2982.25,3082.25,948182094
3079.4,3123.35,3055.9,3108.65,879729349
3108.75,3110.2,2962.4,2978.15,723845002
2981.7,3054.3,2966.4,3020.95,827998191
3023.85,3069.3,2965.7,3060.35,798847735
3061.05,3228.75,3061.05,3211.05,1028509494
3211.35,3303.9,3211.35,3256.6,1047437438
3255.35,3357.05,3149.25,3342.95,1241352556
3346.0,3401.15,3307.05,3342.05,1237117152
3342.2,3417.8,3334.15,3382.6,1166892941
3381.45,3497.55,3311.8,3484.15,1390584097
3484.35,3511.25,3354.2,3369.5,1484109551
3369.5,3489.85,3359.25,3384.4,1173668008
3384.75,3441.1,3339.45,3377.1,976865515
3376.85,3414.7,3309.35,3365.3,1033489753
3364.6,3401.1,3296.9,3330.3,1014399699
3330.5,3439.9,3310.5,3423.7,947343015
3423.6,3491.35,3402.9,3480.75,963202134
3481.3,3517.25,3435.3,3470.0,911215407
3469.5,3471.95,3351.5,3362.35,826617141
3478.7,3664.5,3478.7,3654.0,934389090
3664.5,3682.2,3618.75,3661.9,1198631416
3662.0,3717.05,3608.65,3625.05,1191350281
3617.15,3692.05,3617.15,3683.9,1016351524
3681.8,3711.25,3582.85,3620.7,1065339405
3615.75,3660.2,3534.55,3554.6,900588227
3554.65,3691.65,3534.2,3681.1,970584708
3668.75,3709.6,3610.2,3635.25,979372346
3631.9,3631.9,3537.6,3593.45,796881689
3597.85,3686.25,3597.85,3671.65,836763996
3673.15,4384.3,3673.15,4323.15,8429805
4324.95,4509.4,4167.65,4318.45,1922594973
4318.75,4362.85,4244.7,4270.3,1598932736
4270.35,4319.0,4199.2,4210.9,1521523176
4211.85,4249.5,4155.85,4238.5,1309588993
4238.1,4270.05,4205.1,4237.55,1308251619
4239.55,4256.05,4092.25,4116.7,1357573471
4117.3,4286.45,4115.25,4276.05,1182626815
4276.15,4354.85,4254.85,4337.1,1307263736
4340.75,4488.05,4340.75,4448.95,1495791739
4450.4,4545.4,4450.4,4529.9,1508091273
4530.45,4586.4,4451.3,4525.25,1693625191
4525.5,4574.9,4478.6,4530.7,1698572041
4530.3,4582.2,4453.45,4572.65,1670557856
4573.3,4636.85,4561.95,4586.9,1623126200
4582.35,4611.4,4404.65,4429.9,1309415768
4427.75,4562.45,4365.1,4550.95,1360124168
4551.7,4688.95,4551.7,4655.25,1293906378
4657.4,4679.55,4586.15,4637.7,1262875736
4637.55,4693.2,4566.15,4583.4,1298881936
4584.65,4601.05,4469.6,4484.0,1162829811
4478.1,4537.95,4405.95,4517.8,1195855985
4515.35,4517.8,4332.8,4356.15,1178383479
4352.95,4375.3,4222.15,4251.4,1184157834
4251.1,4326.2,4206.7,4313.6,1059466765
4314.2,4352.25,4221.9,4235.25,895752982
4223.3,4267.45,4143.25,4247.0,1013598821
4247.3,4307.0,4218.25,4292.95,1014955737
4293.85,4337.95,4221.15,4241.85,1239695042
4375.4,4439.95,4350.9,4390.95,951070711
4292.3,4362.3,4249.7,4340.9,884544177
4373.5,4383.65,4288.75,4348.85,847978834
