datetime,PP,R1,S1,R2,S2,R3,S3
2020-09-30,11218.616666666669,11647.033333333336,10819.133333333337,12046.516666666666,10390.716666666669,12474.933333333336,9991.233333333337
2020-10-31,11671.633333333333,11996.216666666667,11317.816666666666,12350.033333333336,10993.233333333332,12674.616666666669,10639.416666666664
2020-11-30,12557.4,13557.4,11968.949999999999,14145.85,10968.949999999999,15145.85,10380.499999999998
2020-12-31,13656.466666666667,14350.133333333335,13288.083333333334,14718.516666666666,12594.416666666666,15412.183333333336,12226.033333333333
2021-01-31,13994.966666666667,14393.183333333334,13236.383333333335,15151.766666666666,12838.166666666668,15549.983333333334,12079.583333333336
2021-02-28,14540.883333333333,15420.016666666666,13650.016666666666,16310.883333333331,12770.883333333333,17190.016666666666,11880.016666666666
2021-03-31,14763.799999999997,15263.199999999995,14191.299999999996,15835.699999999999,13691.899999999998,16335.099999999995,13119.399999999996
2021-04-30,14608.949999999999,15066.499999999998,14173.549999999997,15501.9,13715.999999999998,15959.449999999999,13280.599999999997
2021-05-31,15201.799999999997,15987.349999999995,14797.249999999995,16391.899999999998,14011.699999999997,17177.449999999997,13607.149999999994
2021-06-30,15696.016666666668,15941.133333333337,15476.383333333337,16160.766666666668,15231.266666666668,16405.88333333334,15011.633333333337
2021-07-31,15746.25,15979.05,15530.25,16195.05,15297.45,16427.85,15081.45
2021-08-31,16706.783333333336,17578.91666666667,16260.066666666673,18025.63333333334,15387.933333333336,18897.766666666674,14941.216666666673
2021-09-30,17540.283333333333,18025.516666666666,17132.916666666664,18432.883333333335,16647.68333333333,18918.11666666667,16240.316666666662
2021-10-31,17909.666666666668,18366.433333333334,17214.883333333335,19061.216666666667,16758.11666666667,19517.983333333334,16063.333333333336
2021-11-30,17325.25,17868.1,16440.35,18753.0,15897.5,19295.85,15012.599999999999
2021-12-31,17134.583333333332,17858.966666666664,16629.666666666664,18363.883333333328,15905.283333333333,19088.266666666663,15400.366666666665
2022-01-31,17509.2,18181.600000000002,16667.45,19023.350000000002,15995.05,19695.750000000004,15153.3
2022-02-28,16930.583333333332,17657.916666666664,16066.566666666666,18521.933333333334,15339.233333333334,19249.266666666663,14475.216666666667
2022-03-31,16898.666666666668,18125.883333333335,16237.533333333336,18787.016666666666,15010.31666666667,20014.233333333334,14349.183333333338
2022-04-30,17347.300000000003,17869.900000000005,16579.950000000004,18637.250000000004,16057.350000000002,19159.850000000006,15290.000000000004
2022-05-31,16484.38333333333,17233.016666666663,15835.916666666664,17881.48333333333,15087.283333333333,18630.11666666666,14438.816666666666
2022-06-30,15919.166666666666,16654.933333333334,15044.483333333334,17529.61666666666,14308.716666666667,18265.38333333333,13434.033333333335
2022-07-31,16614.033333333333,17717.016666666666,16055.266666666666,18275.78333333333,14952.283333333333,19378.766666666666,14393.516666666666
2022-08-31,17635.433333333334,18116.06666666667,17278.666666666668,18472.833333333332,16798.033333333333,18953.46666666667,16441.266666666666
2022-09-30,17312.733333333334,17877.766666666666,16529.316666666666,18661.18333333333,15964.283333333333,19226.216666666667,15180.866666666665
2022-10-31,17630.183333333334,18404.81666666667,17237.56666666667,18797.433333333338,16462.933333333334,19572.06666666667,16070.31666666667
2022-11-30,18139.166666666668,18319.133333333335,18022.833333333336,18435.46666666667,17842.86666666667,18615.433333333334,17726.533333333336
